CREATEDAT,ID,SKIPID
2021-10-26 10:40:34.000,71046,1341144
2021-11-01 16:15:26.000,72349,1342299
2021-10-26 15:39:13.000,71126,1343562
2021-11-10 14:45:13.000,74493,1342295
2021-11-03 02:50:25.000,72874,1347812
2021-11-22 20:02:46.000,76846,1348164
2021-10-27 03:06:08.000,71370,1347730
2021-11-03 03:57:25.000,72898,1346391
2021-11-02 00:55:00.000,72470,1346106
2021-11-09 16:44:54.000,74200,1346734
2021-12-15 23:47:38.000,80932,1342773
2021-11-10 03:52:28.000,74422,1346392
2021-10-26 22:29:08.000,71303,1346830
2021-11-03 02:36:09.000,72870,1346107
2021-11-02 14:19:07.000,72595,1346665
2021-12-10 10:55:24.000,80078,1348175
2021-11-09 15:42:08.000,74166,1342306
2021-11-03 22:56:16.000,73115,1343561
2021-11-02 22:08:49.000,72757,1343070
2021-10-27 22:44:01.000,71557,1352105
2021-11-03 03:35:55.000,72886,1348156
2021-11-09 05:40:43.000,74082,1352559
2021-11-01 18:20:21.000,72378,1350838
2021-10-27 22:37:03.000,71553,1352089
2021-10-31 03:24:23.000,72136,1350840
2021-11-03 03:32:41.000,72885,1348155
2021-11-22 21:25:09.000,76861,1352364
2021-12-02 00:03:26.000,78475,1352373
2021-11-01 09:41:54.000,72307,1353551
2021-11-25 16:26:40.000,77404,1356148
2021-10-28 16:37:30.000,71734,1355438
2021-11-12 20:21:57.000,75110,1354334
2021-10-28 16:26:54.000,71729,1355365
2021-10-29 16:21:54.000,71935,1355603
2021-11-11 15:59:42.000,74831,1359134
2021-10-28 19:24:57.000,71779,1356863
2021-11-08 20:21:11.000,73980,1356971
2021-10-28 19:22:43.000,71778,1356862
2021-11-12 14:12:01.000,75027,1356247
2021-10-31 01:58:08.000,72130,1360736
2021-10-30 13:27:32.000,72043,1362905
2021-11-10 14:43:43.000,74492,1364093
2021-11-10 18:03:32.000,74591,1363907
2021-11-01 03:59:22.000,72296,1364686
2021-10-29 16:07:04.000,71931,1360665
2021-11-09 15:51:45.000,74176,1365978
2021-11-02 22:28:00.000,72769,1367549
2021-11-09 15:13:55.000,74134,1374470
2021-11-02 18:55:33.000,72699,1377398
2021-10-20 19:15:37.000,70115,1283146
2021-11-30 13:32:12.000,78021,1286397
2021-11-14 01:48:34.000,75311,1288796
2021-10-26 21:39:39.000,71293,1291303
2021-10-13 18:26:01.000,68803,1291975
2021-11-01 23:21:56.000,72442,1291463
2021-10-28 13:12:07.000,71659,1301789
2021-10-26 16:17:51.000,71148,1312999
2021-10-28 18:52:40.000,71772,1327296
2021-10-27 03:28:20.000,71375,1333706
2021-11-02 22:28:20.000,72770,1367576
2021-11-03 03:41:33.000,72891,1372078
2021-10-27 23:41:01.000,71573,1281890
2021-10-25 01:21:31.000,70816,1285442
2021-10-27 05:40:53.000,71398,1289322
2021-11-03 00:14:26.000,72823,1313275
2021-10-20 16:18:15.000,70087,1317434
2021-10-27 23:55:42.000,71580,1321238
2021-11-02 13:40:18.000,72563,1323668
2021-10-29 04:53:20.000,71874,1325474
2021-10-24 01:51:33.000,70684,1333708
2021-11-01 23:50:31.000,72454,1365601
2021-11-19 12:29:33.000,76452,1281427
2021-11-01 21:12:08.000,72407,1288797
2021-10-19 20:23:50.000,69868,1291457
2021-10-28 17:01:01.000,71748,1291461
2021-10-27 12:54:49.000,71421,1295547
2021-10-16 19:18:08.000,69338,1300962
2021-10-27 03:39:58.000,71379,1301349
2021-10-27 23:52:59.000,71578,1301496
2021-10-28 16:19:39.000,71724,1302456
2021-11-02 15:58:55.000,72633,1306081
2021-10-19 21:31:43.000,69891,1316621
2021-10-22 14:46:01.000,70495,1324100
2021-10-23 22:21:56.000,70658,1332526
2021-10-24 01:51:05.000,70683,1333707
2021-10-26 18:41:08.000,71214,1334552
2021-11-03 18:27:36.000,73042,1368934
2021-11-16 12:52:06.000,75691,1372968
2021-10-26 15:09:25.000,71119,1280215
2021-11-10 14:41:43.000,74489,1291468
2021-11-10 14:33:46.000,74488,1291476
2021-10-14 15:46:27.000,68997,1295048
2021-10-16 16:47:21.000,69321,1297232
2021-10-22 11:43:56.000,70481,1299033
2021-10-16 01:39:41.000,69262,1301338
2021-10-22 01:34:55.000,70419,1305303
2021-11-03 23:12:20.000,73117,1305295
2021-10-20 14:31:44.000,70062,1318859
